seed,v5_minus_v4_mean_reward
30000,-2.5416666666666665
30001,0.0
30002,0.0
30003,0.08333333333333393
30004,-0.7083333333333339
30005,0.0
30006,0.041666666666666075
30007,-0.04166666666666696
30008,0.0
30009,-0.04166666666666696
30010,0.0
30011,-0.04166666666666696
30012,-0.125
30013,-1.2916666666666665
30014,0.0
30015,0.0
30016,0.04166666666666696
30017,0.0
30018,0.0
30019,0.0
30020,0.0
30021,-0.041666666666666075
30022,0.0
30023,0.041666666666666075
30024,-0.125
30025,0.0
30026,0.0
30027,-0.04166666666666696
30028,0.0
30029,-0.08333333333333393
30030,-1.958333333333333
30031,0.0
30032,0.0
30033,0.0
30034,0.041666666666666075
30035,-0.25
30036,-0.041666666666666075
30037,0.04166666666666696
30038,0.0
30039,0.0
30040,0.0
30041,0.0
30042,-0.08333333333333304
30043,0.0
30044,0.0
30045,-0.08333333333333393
30046,0.041666666666666075
30047,0.0
30048,0.0
30049,-0.041666666666666075
30050,0.0
30051,0.041666666666666075
30052,0.0
30053,-0.041666666666666075
30054,0.0
30055,0.0
30056,0.0
30057,0.041666666666666075
30058,0.08333333333333304
30059,0.0
30060,0.0
30061,0.04166666666666696
30062,0.0
30063,0.125
30064,-0.125
30065,0.041666666666666075
30066,-0.04166666666666696
30067,0.0
30068,0.0
30069,0.125
30070,0.0
30071,0.0
30072,0.0
30073,0.0
30074,0.0
30075,0.0
30076,0.041666666666666075
30077,0.0
30078,0.0
30079,-0.125
30080,0.041666666666666075
30081,-0.666666666666667
30082,0.0
30083,0.0
30084,-0.04166666666666696
30085,-0.125
30086,-0.04166666666666696
30087,-0.04166666666666696
30088,0.04166666666666696
30089,0.0
30090,-1.2916666666666665
30091,0.041666666666666075
30092,0.0
30093,-0.125
30094,0.0
30095,0.0
30096,-0.08333333333333304
30097,0.041666666666666075
30098,-0.08333333333333304
30099,-0.125
